Country Name,Country Code,Series Name,Series Code,2016,2017,2018,2019,2020
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,56187,56553,56889,57213,57557
Norway,NOR,"Population, total",SP.POP.TOTL,5234519,5276968,5311916,5347896,5379475
Oman,OMN,"Population, total",SP.POP.TOTL,4479217,4665926,4829476,4974992,5106622
Pakistan,PAK,"Population, total",SP.POP.TOTL,203631356,207906210,212228288,216565317,220892331
Palau,PLW,"Population, total",SP.POP.TOTL,17718,17809,17911,18001,18092
Panama,PAN,"Population, total",SP.POP.TOTL,4037073,4106764,4176868,4246440,4314768
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8271766,8438038,8606324,8776119,8947027
Paraguay,PRY,"Population, total",SP.POP.TOTL,6777878,6867058,6956069,7044639,7132530
Peru,PER,"Population, total",SP.POP.TOTL,30926036,31444299,31989265,32510462,32971846
Philippines,PHL,"Population, total",SP.POP.TOTL,103663812,105172921,106651394,108116622,109581085
Poland,POL,"Population, total",SP.POP.TOTL,37970087,37974826,37974750,37965475,37950802
Portugal,PRT,"Population, total",SP.POP.TOTL,10325452,10300300,10283822,10286263,10305564
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3406672,3325286,3193354,3193694,3194034
Qatar,QAT,"Population, total",SP.POP.TOTL,2654379,2724727,2781682,2832071,2881060
Romania,ROU,"Population, total",SP.POP.TOTL,19702267,19588715,19473970,19371648,19286123
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144342397,144496739,144477859,144406261,144104080
Rwanda,RWA,"Population, total",SP.POP.TOTL,11668829,11980960,12301969,12626938,12952209
Samoa,WSM,"Population, total",SP.POP.TOTL,194540,195358,196128,197093,198410
San Marino,SMR,"Population, total",SP.POP.TOTL,33503,33671,33784,33864,33938
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,203221,207086,211032,215048,219161
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,32443443,33101183,33702757,34268529,34813867
Senegal,SEN,"Population, total",SP.POP.TOTL,14993514,15419354,15854324,16296362,16743930
Serbia,SRB,"Population, total",SP.POP.TOTL,7058322,7020858,6982604,6945235,6908224
Seychelles,SYC,"Population, total",SP.POP.TOTL,94677,95843,96762,97625,98462
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7328846,7488427,7650149,7813207,7976985
Singapore,SGP,"Population, total",SP.POP.TOTL,5607283,5612253,5638676,5703569,5685807
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,39969,40574,40654,40733,40812
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5430798,5439232,5446771,5454147,5458827
Slovenia,SVN,"Population, total",SP.POP.TOTL,2065042,2066388,2073894,2088385,2100126
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,619438,636030,652856,669821,686878
Somalia,SOM,"Population, total",SP.POP.TOTL,14185635,14589165,15008225,15442906,15893219
South Africa,ZAF,"Population, total",SP.POP.TOTL,56207649,57009751,57792520,58558267,59308690
South Sudan,SSD,"Population, total",SP.POP.TOTL,10832520,10910774,10975924,11062114,11193729
Spain,ESP,"Population, total",SP.POP.TOTL,46484062,46593236,46797754,47133521,47351567
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21203000,21444000,21670000,21803000,21919000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,51629,52036,52438,52834,53192
St. Lucia,LCA,"Population, total",SP.POP.TOTL,180028,180955,181890,182795,183629
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,36061,36569,37264,38002,38659
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,109467,109826,110210,110593,110947
Sudan,SDN,"Population, total",SP.POP.TOTL,39847433,40813398,41801532,42813237,43849269
Suriname,SUR,"Population, total",SP.POP.TOTL,564883,570501,575987,581363,586634
Sweden,SWE,"Population, total",SP.POP.TOTL,9923085,10057698,10175214,10278887,10353442
Switzerland,CHE,"Population, total",SP.POP.TOTL,8373338,8451840,8514329,8575280,8636896
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17465567,17095669,16945062,17070132,17500657
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8663575,8880270,9100847,9321023,9537642
Tanzania,TZA,"Population, total",SP.POP.TOTL,53049231,54660345,56313444,58005461,59734213
Thailand,THA,"Population, total",SP.POP.TOTL,68971313,69209817,69428454,69625581,69799978
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1219289,1243260,1267975,1293120,1318442
Togo,TGO,"Population, total",SP.POP.TOTL,7509952,7698476,7889095,8082359,8278737
Tonga,TON,"Population, total",SP.POP.TOTL,101143,102002,103199,104497,105697
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1377563,1384060,1389841,1394969,1399491
Tunisia,TUN,"Population, total",SP.POP.TOTL,11303942,11433438,11565203,11694721,11818618
Turkey,TUR,"Population, total",SP.POP.TOTL,79827868,81116451,82340090,83429607,84339067
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5662371,5757667,5850902,5942094,6031187
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,36558,37116,37667,38194,38718
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11232,11365,11505,11655,11792
Uganda,UGA,"Population, total",SP.POP.TOTL,39649173,41166588,42729032,44269587,45741000
Ukraine,UKR,"Population, total",SP.POP.TOTL,45004673,44831135,44622518,44386203,44134693
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9360975,9487206,9630966,9770526,9890400
United Kingdom,GBR,"Population, total",SP.POP.TOTL,65611593,66058859,66460344,66836327,67215293
United States,USA,"Population, total",SP.POP.TOTL,323071755,325122128,326838199,328329953,329484123
Uruguay,URY,"Population, total",SP.POP.TOTL,3424139,3436645,3449290,3461731,3473727
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,31847900,32388600,32956100,33580350,34232050
Vanuatu,VUT,"Population, total",SP.POP.TOTL,278326,285499,292675,299882,307150
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,29851249,29402480,28887117,28515829,28435943
Vietnam,VNM,"Population, total",SP.POP.TOTL,93640435,94600643,95545959,96462108,97338583
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107516,107281,107001,106669,106290
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4367088,4454805,4569087,4685306,4803269
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,27168210,27834811,28498683,29161922,29825968
Zambia,ZMB,"Population, total",SP.POP.TOTL,16363449,16853608,17351714,17861034,18383956
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14030338,14236599,14438812,14645473,14862927
