"CountryName","CountryCode","2017","2018","2019","2020","region","income"
"Lithuania","LTU",2828403,2801543,2794137,2794700,"europecentralasia","high"
"Luxembourg","LUX",596336,607950,620001,632275,"europecentralasia","high"
"Macao SAR, China","MAC",622578,631633,640446,649342,"eastasia_pacific","high"
"Madagascar","MDG",25570511,26262313,26969306,27691019,"subsaharianafrica","low"
"Malawi","MWI",17670193,18143215,18628749,19129955,"subsaharianafrica","low"
"Malaysia","MYS",31104655,31528033,31949789,32365998,"eastasia_pacific","uppermiddle"
"Maldives","MDV",496398,515704,530957,540542,"southasia","uppermiddle"
"Mali","MLI",18512429,19077755,19658023,20250834,"subsaharianafrica","low"
"Malta","MLT",467999,484630,504062,525285,"middleeastnafrica","high"
"Marshall Islands","MHL",58053,58412,58791,59194,"eastasia_pacific","uppermiddle"
"Mauritania","MRT",4282582,4403312,4525698,4649660,"subsaharianafrica","lowermiddle"
"Mauritius","MUS",1264613,1265303,1265711,1265740,"subsaharianafrica","uppermiddle"
"Mexico","MEX",124777326,126190782,127575529,128932753,"latinamericacaribbean","uppermiddle"
"Micronesia, Fed. Sts.","FSM",111461,112640,113811,115021,"eastasia_pacific","lowermiddle"
"Moldova","MDA",2755158,2708214,2664974,2620495,"europecentralasia","uppermiddle"
"Monaco","MCO",38392,38682,38967,39244,"europecentralasia","high"
"Mongolia","MNG",3113788,3170214,3225166,3278292,"eastasia_pacific","lowermiddle"
"Montenegro","MNE",622373,622227,622028,621306,"europecentralasia","uppermiddle"
"Morocco","MAR",35581257,36029089,36471766,36910558,"middleeastnafrica","lowermiddle"
"Mozambique","MOZ",28649007,29496009,30366043,31255435,"subsaharianafrica","low"
"Myanmar","MMR",53382521,53708318,54045422,54409794,"eastasia_pacific","lowermiddle"
"Namibia","NAM",2402623,2448300,2494524,2540916,"subsaharianafrica","uppermiddle"
"Nauru","NRU",10577,10678,10764,10834,"eastasia_pacific","high"
"Nepal","NPL",27632682,28095712,28608715,29136808,"southasia","lowermiddle"
"Netherlands","NLD",17131296,17231624,17344874,17441139,"europecentralasia","high"
"New Caledonia","NCL",270000,270650,271300,271960,"eastasia_pacific","high"
"New Zealand","NZL",4813600,4900600,4979300,5084300,"eastasia_pacific","high"
"Nicaragua","NIC",6384843,6465502,6545503,6624554,"latinamericacaribbean","lowermiddle"
"Niger","NER",21602388,22442831,23310719,24206636,"subsaharianafrica","low"
"Nigeria","NGA",190873247,195874685,200963603,206139587,"subsaharianafrica","lowermiddle"
"North Macedonia","MKD",2074502,2076217,2076694,2072531,"europecentralasia","uppermiddle"
"Northern Mariana Islands","MNP",56553,56889,57213,57557,"eastasia_pacific","high"
"Norway","NOR",5276968,5311916,5347896,5379475,"europecentralasia","high"
"Oman","OMN",4665926,4829476,4974992,5106622,"middleeastnafrica","high"
"Pakistan","PAK",207906210,212228288,216565317,220892331,"southasia","lowermiddle"
"Palau","PLW",17809,17911,18001,18092,"eastasia_pacific","high"
"Panama","PAN",4106764,4176868,4246440,4314768,"latinamericacaribbean","uppermiddle"
"Papua New Guinea","PNG",8438038,8606324,8776119,8947027,"eastasia_pacific","lowermiddle"
"Paraguay","PRY",6867058,6956069,7044639,7132530,"latinamericacaribbean","uppermiddle"
"Peru","PER",31444299,31989265,32510462,32971846,"latinamericacaribbean","uppermiddle"
"Philippines","PHL",105172921,106651394,108116622,109581085,"eastasia_pacific","lowermiddle"
"Poland","POL",37974826,37974750,37965475,37950802,"europecentralasia","high"
"Portugal","PRT",10300300,10283822,10286263,10305564,"europecentralasia","high"
"Puerto Rico","PRI",3325286,3193354,3193694,3194034,"latinamericacaribbean","high"
"Qatar","QAT",2724727,2781682,2832071,2881060,"middleeastnafrica","high"
"Romania","ROU",19588715,19473970,19371648,19286123,"europecentralasia","uppermiddle"
"Russian Federation","RUS",144496739,144477859,144406261,144104080,"europecentralasia","uppermiddle"
"Rwanda","RWA",11980960,12301969,12626938,12952209,"subsaharianafrica","low"
"Samoa","WSM",195358,196128,197093,198410,"eastasia_pacific","lowermiddle"
"San Marino","SMR",33671,33784,33864,33938,"europecentralasia","high"
"Sao Tome and Principe","STP",207086,211032,215048,219161,"subsaharianafrica","lowermiddle"
"Saudi Arabia","SAU",33101183,33702757,34268529,34813867,"middleeastnafrica","high"
"Senegal","SEN",15419354,15854324,16296362,16743930,"subsaharianafrica","lowermiddle"
"Serbia","SRB",7020858,6982604,6945235,6908224,"europecentralasia","uppermiddle"
"Seychelles","SYC",95843,96762,97625,98462,"subsaharianafrica","high"
"Sierra Leone","SLE",7488427,7650149,7813207,7976985,"subsaharianafrica","low"
"Singapore","SGP",5612253,5638676,5703569,5685807,"eastasia_pacific","high"
"Sint Maarten (Dutch part)","SXM",40574,40654,40733,40812,"latinamericacaribbean","high"
"Slovak Republic","SVK",5439232,5446771,5454147,5458827,"europecentralasia","high"
"Slovenia","SVN",2066388,2073894,2088385,2100126,"europecentralasia","high"
"Solomon Islands","SLB",636030,652856,669821,686878,"eastasia_pacific","lowermiddle"
"Somalia","SOM",14589165,15008225,15442906,15893219,"subsaharianafrica","low"
"South Africa","ZAF",57009751,57792520,58558267,59308690,"subsaharianafrica","uppermiddle"
"South Sudan","SSD",10910774,10975924,11062114,11193729,"subsaharianafrica","low"
"Spain","ESP",46593236,46797754,47133521,47351567,"europecentralasia","high"
"Sri Lanka","LKA",21444000,21670000,21803000,21919000,"southasia","lowermiddle"
"St. Kitts and Nevis","KNA",52036,52438,52834,53192,"latinamericacaribbean","high"
"St. Lucia","LCA",180955,181890,182795,183629,"latinamericacaribbean","uppermiddle"
"St. Martin (French part)","MAF",36569,37264,38002,38659,"latinamericacaribbean","high"
"St. Vincent and the Grenadines","VCT",109826,110210,110593,110947,"latinamericacaribbean","uppermiddle"
"Sudan","SDN",40813398,41801532,42813237,43849269,"subsaharianafrica","low"
"Suriname","SUR",570501,575987,581363,586634,"latinamericacaribbean","uppermiddle"
"Sweden","SWE",10057698,10175214,10278887,10353442,"europecentralasia","high"
"Switzerland","CHE",8451840,8514329,8575280,8636896,"europecentralasia","high"
"Syrian Arab Republic","SYR",17095669,16945062,17070132,17500657,"middleeastnafrica","low"
"Tajikistan","TJK",8880270,9100847,9321023,9537642,"europecentralasia","lowermiddle"
"Tanzania","TZA",54660345,56313444,58005461,59734213,"subsaharianafrica","lowermiddle"
"Thailand","THA",69209817,69428454,69625581,69799978,"eastasia_pacific","uppermiddle"
"Timor-Leste","TLS",1243260,1267975,1293120,1318442,"eastasia_pacific","lowermiddle"
"Togo","TGO",7698476,7889095,8082359,8278737,"subsaharianafrica","low"
"Tonga","TON",102002,103199,104497,105697,"eastasia_pacific","uppermiddle"
"Trinidad and Tobago","TTO",1384060,1389841,1394969,1399491,"latinamericacaribbean","high"
"Tunisia","TUN",11433438,11565203,11694721,11818618,"middleeastnafrica","lowermiddle"
"Turkey","TUR",81116451,82340090,83429607,84339067,"europecentralasia","uppermiddle"
"Turkmenistan","TKM",5757667,5850902,5942094,6031187,"europecentralasia","uppermiddle"
"Turks and Caicos Islands","TCA",37116,37667,38194,38718,"latinamericacaribbean","high"
"Tuvalu","TUV",11365,11505,11655,11792,"eastasia_pacific","uppermiddle"
"Uganda","UGA",41166588,42729032,44269587,45741000,"subsaharianafrica","low"
"Ukraine","UKR",44831135,44622518,44386203,44134693,"europecentralasia","lowermiddle"
"United Arab Emirates","ARE",9487206,9630966,9770526,9890400,"middleeastnafrica","high"
"United Kingdom","GBR",66058859,66460344,66836327,67215293,"europecentralasia","high"
"United States","USA",325122128,326838199,328329953,329484123,"northamerica","high"
"Uruguay","URY",3436645,3449290,3461731,3473727,"latinamericacaribbean","high"
"Uzbekistan","UZB",32388600,32956100,33580350,34232050,"europecentralasia","lowermiddle"
"Vanuatu","VUT",285499,292675,299882,307150,"eastasia_pacific","lowermiddle"
"Venezuela, RB","VEN",29402480,28887117,28515829,28435943,"latinamericacaribbean","VEN"
"Vietnam","VNM",94600643,95545959,96462108,97338583,"eastasia_pacific","lowermiddle"
"Virgin Islands (U.S.)","VIR",107281,107001,106669,106290,"latinamericacaribbean","high"
"West Bank and Gaza","PSE",4454805,4569087,4685306,4803269,"middleeastnafrica","lowermiddle"
"Yemen, Rep.","YEM",27834811,28498683,29161922,29825968,"middleeastnafrica","low"
"Zambia","ZMB",16853608,17351714,17861034,18383956,"subsaharianafrica","lowermiddle"
"Zimbabwe","ZWE",14236599,14438812,14645473,14862927,"subsaharianafrica","lowermiddle"
